num_rolls,num_experiments,mean,variance
1,100,,
1,500,,
1,1000,,
1,5000,,
1,10000,,
1,50000,,
1,100000,,
2,100,6.9,5.709999999999999
2,500,7.234,6.227244
2,1000,7.06,6.0443999999999996
2,5000,7.031,5.832039
2,10000,7.0014,5.78539804
2,50000,6.99592,5.7881033536
2,100000,7.00291,5.8290215319
3,100,10.05,8.4075
3,500,10.388,8.497456
3,1000,10.571,8.526959
3,5000,10.5104,8.88989184
3,10000,10.4843,8.700153510000002
3,50000,10.5047,8.76301791
3,100000,10.48556,8.773891486399998
4,100,13.14,10.060399999999998
4,500,14.106,11.482764
4,1000,13.976,11.149424
4,5000,13.8934,11.735236440000001
4,10000,14.0729,11.72578559
4,50000,14.00008,11.8112799936
4,100000,14.00932,11.6534731376
5,100,17.21,15.365900000000002
5,500,17.62,14.5676
5,1000,17.55,14.907499999999999
5,5000,17.4396,14.35155184
5,10000,17.4867,14.82722311
5,50000,17.4953,14.533857910000002
5,100000,17.4913,14.57668431
6,100,21.32,13.977599999999997
6,500,21.084,16.896944000000005
6,1000,20.946,17.241084000000004
6,5000,21.0374,17.26080124
6,10000,21.0265,16.94119775
6,50000,20.98518,17.616600367599997
6,100000,21.01784,17.5041017344
7,100,24.56,20.6664
7,500,24.394,20.334764000000003
7,1000,24.392,20.880336
7,5000,24.4522,19.848115160000003
7,10000,24.5131,19.893028389999998
7,50000,24.47422,20.5278153916
7,100000,24.51875,20.4869084375
8,100,27.88,16.825599999999998
8,500,28.044,21.886063999999998
8,1000,27.75,22.2595
8,5000,27.9964,22.701987040000002
8,10000,27.9646,23.49394684
8,50000,28.00282,23.150332047600003
8,100000,28.0073,23.319706710000002
9,100,31.28,23.5616
9,500,31.92,26.517599999999998
9,1000,31.612,25.639456
9,5000,31.5322,25.645763159999998
9,10000,31.5209,26.124363190000004
9,50000,31.51352,26.3871772096
9,100000,31.52651,26.230417219900005
10,100,34.89,23.1179
10,500,35.172,29.098416
10,1000,34.802,27.160796
10,5000,34.9452,29.14019696
10,10000,34.9854,29.34618683999999
10,50000,35.0337,29.25360431
10,100000,35.00441,29.453990551900002
11,100,37.88,32.0856
11,500,39.06,31.2284
11,1000,38.479,31.811559000000003
11,5000,38.4684,32.726601439999996
11,10000,38.4847,32.27656591
11,50000,38.50026,32.177919932399995
11,100000,38.48886,32.063175900400005
12,100,42.09,34.8019
12,500,41.892,34.916335999999994
12,1000,41.984,31.753743999999998
12,5000,42.043,34.506750999999994
12,10000,42.0073,35.06124671
12,50000,42.05586,35.274139660399996
12,100000,41.98676,35.1508447024
13,100,44.57,47.9251
13,500,45.042,42.75223599999999
13,1000,45.42,35.8976
13,5000,45.5378,38.26857116
13,10000,45.4428,37.68392816
13,50000,45.47186,37.5087281404
13,100000,45.50983,37.5885433711
14,100,49.04,41.318400000000004
14,500,48.844,37.359664
14,1000,49.081,37.242439
14,5000,48.8612,40.75673456000001
14,10000,48.9997,40.090899910000005
14,50000,49.00334,41.0711288444
14,100000,48.97872,40.9256871616
15,100,53.57,32.525099999999995
15,500,52.4,39.38
15,1000,52.477,44.337471
15,5000,52.5324,43.13615024
15,10000,52.4528,44.04057216
15,50000,52.46936,43.8765811904
15,100000,52.49815,43.438896577499996
